                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6505,                 1.0357,                 1.1695,                0.32553,                0.04269,                0.04907,                0.02288,                 1.8442,                 2.1953,                0.90064,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.6453,                 1.0347,                  1.171,                0.32686,                 0.0417,                 0.0513,                0.02404,                 1.8137,                  2.359,                0.89631,             0.00072604,             0.00072604,             0.00072604
                     37,                  1.659,                 1.0526,                 1.1812,                0.33462,                0.05151,                0.07506,                0.03259,                 1.8885,                  2.242,                0.91941,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.6036,                0.99932,                 1.1641,                 0.3528,                0.05288,                0.06575,                0.02959,                 1.8134,                 2.1062,                0.88462,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.6202,                0.98894,                 1.1476,                0.47037,                0.07858,                0.09329,                0.04263,                 1.8144,                 2.0502,                 0.8904,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.6023,                0.96343,                 1.1461,                0.45258,                0.05255,                0.07233,                0.03337,                  1.848,                 2.0722,                0.89766,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.6014,                0.96098,                 1.1505,                0.60421,                0.03548,                0.04801,                0.02078,                 1.7937,                 2.1052,                0.88845,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.5781,                0.94762,                 1.1395,                0.65922,                0.07237,                0.09157,                0.04431,                 1.8471,                 2.0133,                0.91212,             0.00066005,             0.00066005,             0.00066005
                     43,                   1.58,                0.97013,                 1.1469,                 0.8084,                0.08596,                0.11648,                0.05874,                 1.8267,                 2.0258,                0.89894,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.5584,                0.94753,                 1.1263,                0.42345,                0.05591,                0.07663,                0.03251,                 1.8251,                 1.9959,                0.89264,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.5879,                 0.9524,                 1.1336,                0.43277,                0.05352,                0.06432,                0.02901,                 1.8521,                 2.0668,                0.91231,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.5247,                0.95079,                 1.1078,                0.65346,                0.07323,                0.09712,                0.04468,                 1.7718,                 1.9812,                0.89039,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.5578,                0.99073,                 1.1452,                0.50374,                0.04277,                0.05463,                 0.0215,                  1.866,                 2.1552,                0.91289,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.5628,                0.94267,                  1.131,                0.56818,                0.06904,                0.09213,                0.04302,                 1.8065,                 2.0325,                 0.8922,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.5644,                0.91853,                 1.1278,                0.63632,                0.09378,                0.10876,                0.05155,                 1.7832,                 1.9197,                0.89552,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.5642,                0.90802,                 1.1215,                0.39277,                0.05835,                0.07302,                0.02908,                   1.81,                 2.0203,                0.89458,             0.00057205,             0.00057205,             0.00057205
                     51,                  1.529,                0.87771,                 1.1207,                0.51419,                0.08111,                 0.1008,                0.04438,                 1.8427,                  1.977,                0.90836,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.5038,                0.87917,                 1.1049,                0.54628,                0.07261,                0.10062,                0.04765,                 1.8363,                 1.9357,                0.91079,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.5067,                0.85746,                 1.1029,                0.54154,                0.11094,                0.12818,                 0.0543,                 1.8216,                 2.0333,                0.90719,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.4777,                0.85332,                  1.102,                0.64833,                0.11531,                0.14405,                0.06789,                 1.8154,                 1.9961,                0.88737,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.4965,                   0.88,                 1.1058,                0.48287,                0.09393,                0.10489,                0.05337,                 1.7676,                 1.9259,                0.87855,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.4766,                0.86112,                 1.0962,                0.48071,                0.08135,                0.10029,                0.04733,                 1.7743,                   1.91,                0.87806,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.4901,                0.85819,                 1.0918,                0.63591,                 0.0977,                0.12222,                0.06014,                 1.7633,                 1.8177,                0.88361,             0.00049506,             0.00049506,             0.00049506
                     58,                  1.458,                0.84291,                   1.09,                0.45769,                0.09883,                0.11606,                0.05715,                 1.7624,                 1.8762,                 0.8864,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.4763,                0.81792,                 1.0931,                0.66538,                0.11911,                0.13906,                 0.0663,                 1.7544,                 1.8236,                0.87401,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.4623,                0.82691,                 1.0786,                0.64848,                  0.142,                0.16389,                0.07764,                 1.7852,                 1.8641,                0.88927,             0.00046206,             0.00046206,             0.00046206
